method,score
EFV31_EUTROPHICATION_FRESHWATER,1.61e0
EFV31_CLIMATE_CHANGE,7.55e3
EFV31_PARTICULATE_MATTER_FORMATION,5.95e-4
EFV31_ACIDIFICATION,5.56e1
EFV31_ECOTOXICITY_FRESHWATER,5.67e4
EFV31_IONISING_RADIATION,4.22e3
EFV31_PHOTOCHEMICAL_OZONE_FORMATION,4.09e1
EFV31_EUTROPHICATION_MARINE,1.95e1
EFV31_EUTROPHICATION_TERRESTRIAL,1.77e2
EFV31_ENERGY_RESOURCES,6.50e4
EFV31_HUMAN_TOXICITY_NON_CARCINOGENIC,1.29e-4
EFV31_OZONE_DEPLETION,5.23e-2
EFV31_HUMAN_TOXICITY_CARCINOGENIC,1.73e-5
EFV31_MATERIAL_RESOURCES,6.36e-2
EFV31_WATER_USE,1.15e4
EFV31_LAND_USE,8.19e5
